1018304,Alamo Heights Farmers Market,,https://www.facebook.com/AlamoHeightsFarmersMarket/,https://twitter.com/AlamoHeightsFM,,https://www.instagram.com/alamoheightsfm/?hl=en,255 E Basse,San Antonio ,Bexar,Texas,78209,01/01/2018 to 12/31/2018,Sun: 9:00 AM-1:00 PM;,,,,,,,-98.481174,29.493258,,Y,N,N,N,N,-,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,8/6/2018 10:42:44 AM;;;;;;
1004070,Alamosa Farmers Market,http://www.alamosafarmersmarket.org,https://www.facebook.com/pages/Alamosa-Farmers-Market/104375596315429?fref=ts,,,,Corner of 6th Street and State Avenue's Parking Lot,Alamosa,Alamosa,Colorado,81101,07/11/2020 to 10/10/2020,Sat: 8:00 AM-1:30 PM;,,,,,,,-105.865006,37.467321,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,9/10/2020 4:19:54 PM;;;;;;
1021689,Albany Farmers' Market,,https://www.facebook.com/Albany.OR.Farmers.Market,,,https://www.instagram.com/albanyorfarmersmarket/,4th & Ellsworth,Albany,Linn,Oregon,97321,04/16/2022 to 04/16/2022,Sat: 9:00 AM-1:00 PM;,12/10/2022 to 12/10/2022,Sat: 10:00 AM-2:00 PM;,,,,,-123.106097,44.635052,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,2/5/2022 8:30:36 PM;;;;;
1019371,Albany IN Farmers Market,,https://www.facebook.com/Albany-IN-Farmers-Market-405175829889200/?modal=admin_todo_tour,,,,208 E. State Street,Albany,Delaware,Indiana,47320,05/05/2019 to 10/13/2019,Sun: 2:00 PM-5:00 PM;,,,,,,,-85.235831,40.299191,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2/2/2019 3:43:21 PM;;;;;;
1021578,Albany Square Farmers Market,,https://www.facebook.com/MainStreetAlbany,,,,,Albany,Gentry,Missouri,64402,05/01/2021 to 05/01/2021,Thu: 4:30 PM-6:30 PM;,,,,,,,-94.333605,40.247729,,Y,N,N,N,N,-,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,7/26/2021 1:12:11 PM;;;;;;
1000519,Alexandria Bay Farmers Market,http://www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,,,,Route 12,Alexandria Bay,Jefferson,New York,13607,05/23/2014 to 05/23/2014,Fri: 9:00 AM-3:00 PM;,,,,,,,-75.916118,44.331171,,Y,Y,N,N,N,-,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,2/1/2021 11:02:22 AM;;;;;;
"1019113,Alexandria Farmers Market,,""Alexandria, MN Farmers Market"",,,,Broadway & Second Ave,Alexandria,Douglas,Minnesota,56308,12/01/2020 to 12/01/2020,Tue: 9:00 AM-12:00 PM";Thu: 3:00 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;,05/01/2020 to 10/01/2020,Sat: 9:00 AM-12:00 PM;,,,,,-95.375902,45.890762,,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,1/5/2021 10:22:24 AM;;;
1021464,Alexandria Farmers Market,https://www.louisiana-central.com/alexandria-farmers-market,https://www.facebook.com/AlexandriaFarmersMarket,,,https://www.instagram.com/alexandriafarmersmarket/,2727 JACKSON STREET,Alexandria ,Rapides,Louisiana,71301,01/01/2021 to 01/01/2021,Tue: 3:00 PM-6:00 PM;,,,,,,,-92.466488,31.294467,,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,5/7/2021 12:43:38 PM;;;;;;
1021597,Algoma Sunday Farmers Market,https://visitalgomawi.com/market/,https://www.facebook.com/AlgomaSundayFarmersMarket,,,,Clark St. and Lake St.,Algoma ,Kewaunee,Wisconsin,54201,07/11/2021 to 07/11/2021,Sun: 9:00 AM-12:00 PM;,,,,,,,-87.435983,44.607438,,Y,Y,N,Y,N,-,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,8/3/2021 10:39:44 AM;;;;;;
1019831,Allen County Farmers' Market,http://www.acfarmersmarket.com,Allen County Farmers' Market,,,,Jefferson,IOLA,Allen,Kansas,66749,04/01/2021 to 04/01/2021,Thu: 5:30 PM-7:00 PM;,,,,,,,-95.400669,37.927427,,Y,N,N,Y,Y,-,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,1/14/2021 11:51:05 AM;;;;;;
1019832,Allen County Farmers' Market,http://www.acfarmersmarket.com,Allen County Farmers' Market,,,,807  N. State,Iola,Allen,Kansas,66749,04/01/2021 to 04/01/2021,Thu: 5:30 PM-7:00 PM;,,,,,,,-95.400669,37.927427,,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,1/14/2021 11:53:33 AM;;;;;;
1012389,Aloha Community Farmers' Market,http://www.alohacommunityfarmersmarket.org,https://www.facebook.com/Aloha-Community-Farmers-Market-913645008655691/,@AlohaFarmMarket,,Instagram: Aloha Community Farmers' Market,17675 SW Farmington Rd and SW Kinnaman Rd,Aloha,Washington,Oregon,97007,05/02/2019 to 09/26/2019,Thu: 3:00 PM-7:00 PM;,,,,,,,-122.858722,45.480164,,Y,Y,N,Y,Y,-,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,6/5/2019 11:04:30 AM;;;;;;
1020150,Alturas Farmers Market,http://svsaturdaymarket.org/,https://www.facebook.com/ModocCFM/,,,,108 S Main St,Alturas,Modoc,California,96101,07/04/2020 to 10/10/2020,Sun: 9:00 AM-12:00 PM;,,,,,,,-120.542201,41.483907,,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,Y,N,N,8/21/2020 12:20:23 AM;;;;;;
1021309,Ambler Farmers' Market,http://www.farmtocitymarkets.com,https://www.facebook.com/FarmToCity,,,,29 West Butler Pike,Ambler,Montgomery,Pennsylvania,19002,05/08/2021 to 05/08/2021,Sat: 9:00 AM-12:00 PM;,,,,,,,-75.225298,40.153501,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,1/26/2021 2:26:25 PM;;;;;;
"1011171,Ames Main Street Farmers' Market,http://www.amesmainsteetfarmersmarket.com,Ames Main Street Farmers' Market,,,,300 & 400 Blocks of  Main Street,""Ames, IA"",Story,Iowa,50010,05/01/2021 to 05/01/2021,Sat: 8:00 AM-12:30 PM";,,,,,,,-93.614943,42.025222,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,1/5/2021 2:44:07 PM;;;;;;
1003563,Amicalola Regional Farmers Market,,https://www.facebook.com/amicalolafarmersmarket/,,,,186 Recreation Road,Dawsonville,Dawson,Georgia,30534,05/04/2018 to 09/28/2018,Fri: 3:30 PM-7:00 PM;,,,,,,,-84.099043,34.437795,,Y,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,7/26/2018 4:05:11 PM;;;;;;
1019438,Amqui Station Farmers Market,https://amquistation.org/farmers-market/,,,,,303 Madison Street,Madison,Davidson,Tennessee,37115,05/05/2019 to 10/27/2019,Sun: 11:00 AM-2:00 PM;,,,,,,,-86.717491,36.257792,,Y,N,N,N,Y,-,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,3/22/2019 7:12:12 PM;;;;;;
1012157,Anaconda Community Market,,https://www.facebook.com/groups/478915098830452/,,,,Kennedy Common (306 Main),Anaconda,Deer Lodge,Montana,59711,07/19/2016 to 09/08/2020,Tue: 4:00 PM-7:00 PM;,,,,,,,-113.139108,46.099059,,Y,N,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,9/14/2020 10:53:53 PM;;;;;;
1005944,Anacortes Farmers Market,http://www.anacortesfarmersmarket.org,https://www.facebook.com/AnacortesFarmersMarket,,,,611 R Avenue,Anacortes,Skagit,Washington,98221,05/02/2020 to 10/31/2020,Sat: 9:00 AM-2:00 PM;,11/21/2020 to 11/22/2020,Sat: 10:00 AM-4:00 PM;Sun: 10:00 AM-4:00 PM;,01/11/2020 to 04/11/2020,Sat: 9:00 AM-2:00 PM;,,,-122.609181,48.516974,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,9/10/2020 3:39:44 PM;;;
1019647,Anderson County Farmers Market,https://www.andersoncountysc.org/parks/,www.facebook.com/andersoncountyfarmersmarket,,,,402 N. Murray Ave,Anderson,Anderson,South Carolina,29621,05/01/2019 to 05/25/2019,Sat: 10:00 AM-2:00 PM;,06/01/2019 to 11/26/2019,Tue: 8:00 AM-1:00 PM;Thu: 8:00 AM-1:00 PM;Sat: 8:00 AM-1:00 PM;,11/30/2019 to 12/21/2019,Sat: 10:00 AM-2:00 PM;,,,-82.652197,34.506898,,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,7/30/2019 9:44:15 AM;;
1020084,Anderson County Farmers Market ,,AndersonCoFarmersMarket,,,,1505 US-127 N,Lawrenceburg ,Anderson,Kentucky,40342,05/02/2020 to 10/31/2020,Sat: 2:00 PM-5:00 PM;,,,,,,,-84.917629,38.076447,,Y,N,N,Y,N,-,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,1/4/2021 7:27:47 PM;;;;;;
1003516,Andersonville Farmers Market,http://www.andersonvillemarket.org,https://www.facebook.com/andersonville?ref=bookmarks,,,,1500 W. Catalpa Ave.,Chicago,Cook,Illinois,60640,06/10/2020 to 10/21/2020,Wed: 3:00 PM-7:00 PM;,,,,,,,-87.668602,41.981745,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,6/7/2020 6:00:25 PM;;;;;;
1020060,Andover Farmers Market,http://andoverfarmersmarket.com/,https://www.facebook.com/andoverfarmersmarket/?view_public_for=153480551390115,,,https://www.instagram.com/andovermafarmersmarket/,41 Central Street,Andover,Essex,Massachusetts,01810,06/19/2021 to 06/19/2021,Sat: 10:00 AM-2:00 PM;,,,,,,,-71.143138,42.653616,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,6/21/2021 1:03:59 PM;;;;;;
1019484,Annandale Farmers Market ,https://www.fairfaxcounty.gov/parks/farmersmarkets/annandale,https://www.facebook.com/events/557660981411692/,,,@fairfaxfarmmarkets,6621 Columbia Pike,Annandale ,Fairfax,Virginia,,05/02/2019 to ,Thu: 8:00 AM-12:00 PM;,,,,,,,-77.196229,38.832801,,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,4/25/2019 12:20:31 PM;;;;;;
1019096,Annandale Farmers Market - ACT,,Annandale Farmers Market,,,,25 East Cedar St,Annandale ,Wright,Minnesota,55302,05/26/2018 to 10/06/2018,Sat: 8:00 AM-12:00 PM;,,,,,,,-94.1238322,45.2636097,,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,5/11/2018 9:52:09 AM;;;;;;
"1018934,""Antigo Farmers Market, Inc."",http://www.antigomarket.com,""Antigo Farmers Market, Inc"",,,,420 Field Street,Antigo,Langlade,Wisconsin,54409,06/01/2020 to 09/26/2020,Sat: 8:00 AM-12:00 PM";,,,,,,,-89.149850,45.138703,,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,8/1/2020 2:39:18 PM;;;;;;
